Rank,Country, Smartphone Users ,Date of Information
1,China," 1,598,360,000 ",2020
2,India," 1,281,971,713 ",2020
3,Indonesia," 385,573,398 ",2020
4,United States," 327,577,529 ",2020
5,Brazil," 284,200,000 ",2020
6,Russia," 256,116,000 ",2020
7,Nigeria," 167,371,945 ",2020
8,Bangladesh," 165,615,000 ",2020
9,Pakistan," 165,405,847 ",2020
10,Japan," 146,649,600 ",2020
11,Germany," 107,000,000 ",2020
12,Philippines," 106,987,098 ",2020
13,Mexico," 101,339,000 ",2020
14,Iran," 96,165,000 ",2020
15,Egypt," 95,340,000 ",2020
16,Italy," 88,580,000 ",2020
17,United Kingdom," 83,100,000 ",2020
18,Vietnam," 72,300,000 ",2020
19,Turkey," 72,200,000 ",2020
20,France," 72,180,000 ",2020
21,Thailand," 69,000,000 ",2020
22,South Africa," 59,474,500 ",2020
23,Colombia," 57,900,472 ",2020
24,Ukraine," 57,505,555 ",2020
25,Argentina," 56,725,200 ",2020
26,South Korea," 56,004,887 ",2020
27,Spain," 55,740,000 ",2020
28,Poland," 47,153,200 ",2020
29,Saudi Arabia," 46,000,000 ",2020
30,Morocco," 44,450,000 ",2020
31,Sri Lanka," 38,849,812 ",2020
32,Peru," 34,235,000 ",2020
33,Nepal," 34,172,058 ",2020
34,Algeria," 33,000,000 ",2020
35,Venezuela," 32,019,086 ",2020
36,Canada," 31,210,628 ",2020
37,Malaysia," 30,379,000 ",2020
38,Taiwan," 28,610,000 ",2020
39,Kenya," 28,080,000 ",2020
40,Romania," 26,000,000 ",2020
41,Chile," 21,000,000 ",2020
42,Australia," 20,570,000 ",2020
43,Netherlands," 20,000,000 ",2020
44,Hong Kong," 19,207,578 ",2020
45,Ethiopia," 18,000,000 ",2020
46,Guatemala," 17,571,895 ",2020
47,United Arab Emirates," 17,132,724 ",2020
48,Ecuador," 15,900,000 ",2020
49,Sweden," 14,500,000 ",2020
50,Zimbabwe," 13,518,887 ",2020
51,Portugal," 13,400,000 ",2020
52,Belgium," 11,822,000 ",2020
53,Hungary," 11,561,890 ",2020
54,Bulgaria," 10,454,400 ",2020
55,Israel," 9,701,200 ",2020
56,Finland," 9,470,000 ",2020
57,Singapore," 8,106,700 ",2020
58,Denmark," 7,000,000 ",2020
59,Azerbaijan," 7,000,000 ",2020
60,Panama," 6,900,000 ",2020
61,Jordan," 6,010,000 ",2020
62,Ireland," 5,770,638 ",2020
63,Lithuania," 4,940,000 ",2020
64,New Zealand," 4,761,000 ",2020
65,Mongolia," 3,500,000 ",2020
66,North Korea," 3,000,000 ",2020
67,Lebanon," 2,720,000 ",2020
68,Latvia," 2,579,000 ",2020
69,Trinidad And Tobago," 2,060,000 ",2020
70,Estonia," 1,904,000 ",2020
71,Cuba," 1,300,000 ",2020
72,Montenegro," 1,117,500 ",2020
73,Maldives," 776,716 ",2020
74,Malta," 554,651 ",2020
